mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.2602097511291504,0.03865651353313061,0.011233901977539063,0.0017397453583275625,30,0.55,1,5,100,"{'max_depth': 30, 'max_features': 0.55, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",-1402761741.2905114,-20679279905.111565,-3407943612.5121064,-52260266.607260324,-6903806334.077137,-6489210371.919717,7460971174.607214,45
0.46562838554382324,0.07989726007298001,0.023218774795532228,0.0019732211187582028,30,0.55,1,5,200,"{'max_depth': 30, 'max_features': 0.55, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",-1377384528.0976336,-20827051601.73424,-3994684634.664564,-50342159.25124363,-6189186369.171962,-6487729858.583929,7476311129.768525,41
0.268106746673584,0.045474136389482105,0.013528966903686523,0.002542746017167235,30,0.55,2,2,100,"{'max_depth': 30, 'max_features': 0.55, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",-1034475668.2944556,-20046845573.17081,-2885074176.5811615,-52516519.574876405,-7429633549.478822,-6289709097.420025,7330345426.523299,15
0.4350730895996094,0.03330918685942518,0.021413135528564452,0.0034532085906550476,30,0.55,2,2,200,"{'max_depth': 30, 'max_features': 0.55, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",-971745186.0853881,-20462300765.267216,-3395217921.811929,-42895760.582148306,-6562616738.81416,-6286955274.512168,7437987515.985573,11
0.28048200607299806,0.04082143579820953,0.015576839447021484,0.006322674486026969,30,0.55,2,5,100,"{'max_depth': 30, 'max_features': 0.55, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",-1057405111.2543261,-20155953241.12136,-2660996714.4556575,-56963076.700456955,-6908941856.673982,-6168052000.041157,7375281081.245265,1
0.4440423011779785,0.05318731664563334,0.02157907485961914,0.0021126760304473182,30,0.55,2,5,200,"{'max_depth': 30, 'max_features': 0.55, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",-1056431308.3468853,-20173514735.02011,-3311904333.846289,-47086110.094118066,-6390700593.740659,-6195927416.209612,7320534715.931484,5
0.2832807064056396,0.04521024859544882,0.012093257904052735,0.0015879925000088098,30,sqrt,1,2,100,"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",-1436277349.3346846,-22120087054.98581,-4353416383.307542,-17224202.135899197,-5915097402.260791,-6768420478.404945,7952917367.101554,61
0.4494577407836914,0.0700528093883073,0.022619247436523438,0.004141042528573188,30,sqrt,1,2,200,"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",-1205855113.4610317,-21626093809.26682,-4576893122.951473,-18962372.045483664,-6164788159.995425,-6718518515.544046,7776920831.169901,57
0.23944435119628907,0.0527859612063149,0.011989259719848632,0.0006421976497002632,30,sqrt,1,5,100,"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",-1574354026.9566066,-19814917313.59829,-4071062575.933166,-51971744.74398128,-6011219594.622124,-6304705051.170834,7057960362.736828,23
0.440277624130249,0.028371768677864374,0.020409059524536134,0.0012701996991523758,30,sqrt,1,5,200,"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",-1247106931.931678,-20276818561.158978,-4030007873.9125667,-50789844.79705876,-5983900752.943787,-6317724792.948813,7282678424.286571,25
0.22692503929138183,0.026159082317268174,0.012109613418579102,0.0011398476010012338,30,sqrt,2,2,100,"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",-1100548691.8126605,-21024974016.20994,-3099241473.7676144,-46163585.796834044,-6477032135.433448,-6349591980.604099,7658113635.581634,29
0.45261578559875487,0.040468880484862746,0.018855571746826172,0.0008340164750124405,30,sqrt,2,2,200,"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",-927440534.4470415,-21208801786.52403,-3339410101.3333535,-50315599.772352345,-6266173743.994437,-6358428353.214243,7732328089.580773,31
0.2610351085662842,0.03572162724611521,0.01413898468017578,0.0018902889408429556,30,sqrt,2,5,100,"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",-1090994553.8935554,-20547944122.593906,-2971899755.307869,-60142696.314953305,-6406398722.915425,-6215475970.205141,7484989231.754051,9
0.4412436008453369,0.025788807381996955,0.01996603012084961,0.0010502417008780235,30,sqrt,2,5,200,"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",-1003387439.5118967,-20918523191.400402,-3260922250.9646034,-64144614.76721919,-6216676102.522648,-6292730719.833354,7614248347.977239,21
